Phase Name,Diss. Rxn,D-H Units,Check,Vm units,Log_K,Log_K_Deviation_,Delta_H,Delta_H_Deviation,A1,A1_Deviation,A2,A2_Deviation,A3,A3_Deviation,A4,A4_Deviation,A5,A5_Deviation,A6,A6_Deviation,Vm,Vm_Deviation,T_c,T_c_Deviation,P_c,P_c_Deviation,Omega,Omega_Deviation
Analcime(Si-Al_is_2.0)-Zeo19,NaAlSi2O6(H2O) = Na+ + AlO2- + 2SiO2 + H2O,kJ/mol,Yes,cm3/mol,-16.06,0.27,0,0,16.9818,0,0,0.000905600,-4835.48,,-6.798958133,0,0,0,0,0,97.5,0.5,0,0,0,0,0,0
Analcime(Si-Al_is_2.5)-Zeo19,Na0.85Al0.85Si2.15O6(H2O) = 0.85Na+ + 0.85AlO2- + 2.15SiO2 + H2O,kJ/mol,Yes,cm3/mol,-15.36,0.24,0,0,0.572297,0,0,0.000805000,-5066.1,,0.428168001,0,0,0,0,0,88.4,0.4,0,0,0,0,0,0
Chabazite-Zeo19,CaAl2Si4O12(H2O)6 = Ca+2 + 2AlO2- + 4SiO2 + 6H2O,kJ/mol,Yes,cm3/mol,-25.8,2,0,0,-34.7164,0,0,0.006708000,-7737.68,,-13.96847129,0,0,0,0,0,251.2,1.3,0,0,0,0,0,0
Heulandite(Ca)-Zeo19,Ca1.07Al2.14Si6.86O18(H2O)6.17 = 1.07Ca+2 + 2.14AlO2- + 6.86SiO2 + 6.17H2O,kJ/mol,Yes,cm3/mol,-49.67,0.29802,0,0,24.6649,0,0,0.000999600,-14436.3,,-10.47326224,0,0,0,0,0,322.1,1.6,0,0,0,0,0,0
Heulandite(Na)-Zeo19,Na2.14Al2.14Si6.86O18(H2O)6.17 = 2.14Na+ + 2.14AlO2- + 6.86SiO2 + 6.17H2O,kJ/mol,Yes,cm3/mol,-49.36,0.29616,0,0,-12.9361,0,0,0.000993300,-13307,,3.317104085,0,0,0,0,0,325.0,1.6,0,0,0,0,0,0
Heulandite(CaKNa)-Zeo19,Ca0.86K0.06Na0.36Al2.14Si6.86O18(H2O)6.1 = 0.86Ca+2 + 0.06K+ + 0.36Na+ + 2.14AlO2- + 6.86SiO2 + 6.1H2O,kJ/mol,Yes,cm3/mol,-54.98,0.32988,0,0,41.5204,0,0,0.001106400,-16372.4,,-16.8067528,0,0,0,0,0,352.5,0.4,0,0,0,0,0,0
Phillipsite(Ca)-Zeo19,Ca0.5AlSi3O8(H2O)3 = 0.5Ca+2 + AlO2- + 3SiO2 + 3H2O,kJ/mol,Yes,cm3/mol,-21.99,0.13194,0,0,5.90489,0,0,0.000442500,-5930.89,,-3.234095892,0,0,0,0,0,151.1,0.8,0,0,0,0,0,0
Phillipsite(K)-Zeo19,KAlSi3O8(H2O)3 = K+ + AlO2- + 3SiO2 + 3H2O,kJ/mol,Yes,cm3/mol,-24.27,0.14562,0,0,12.1351,0,0,0.000488400,-7962.44,,-3.919644552,0,0,0,0,0,149.0,0.7,0,0,0,0,0,0
Phillipsite(Na)-Zeo19,NaAlSi3O8(H2O)3 = Na+ + AlO2- + 3SiO2 + 3H2O,kJ/mol,Yes,cm3/mol,-22.87,0.13722,0,0,-7.22704,0,0,0.000460200,-6224.72,,2.115578342,0,0,0,0,0,149.7,0.7,0,0,0,0,0,0
Phillipsite(KNa)-Zeo19,K0.4Na0.54Al0.94Si3.06O8(H2O)3 = 0.4K+ + 0.54Na+ + 0.94AlO2- + 3.06SiO2 + 3H2O,kJ/mol,Yes,cm3/mol,-18.5,0.111,0,0,18.2602,0,0,0.000372300,-6247.57,,-6.387624332,0,0,0,0,0,151.5,4.0,0,0,0,0,0,0
Stilbite(CaNa)-Zeo19,CaNa0.5Al2.5Si6.5O18(H2O)8 = Ca+2 + 0.5Na+ + 2.5AlO2- + 6.5SiO2 + 8H2O,kJ/mol,Yes,cm3/mol,-49.16,0.29496,0,0,27.3677,0,0,0.000989300,-14736,,-10.953144,0,0,0,0,0,332.4,1.7,0,0,0,0,0,0
Stilbite(CaKNa)-Zeo19,Ca1.019K0.006Na0.136Al2.180Si6.820O18(H2O)7.33 = 1.019Ca+2 + 0.006K+ + 0.136Na+ + 2.180AlO2- + 6.820SiO2 + 7.33H2O,kJ/mol,Yes,cm3/mol,-55.12,0.33072,0,0,23.6022,0,0,0.001109200,-15816.2,,-10.37583987,0,0,0,0,0,333.4,1.7,0,0,0,0,0,0
Thomsonite-Zeo19,CaNa0.5Al2.5Si2.5O10(H2O)3 = Ca+2 + 0.5Na+ + 2.5AlO2- + 2.5SiO2 + 3H2O,kJ/mol,Yes,cm3/mol,-39.4,0.2364,0,0,47.3152,0,0,0.000792900,-11043.2,,-20.07575588,0,0,0,0,0,177.6,0.9,0,0,0,0,0,0
